ALV-5000/E-WIN Data
Date :	"22.04.05"
Time :	"11:24:46"
Samplename : 	"124d Lu Es8p2 0.45µm 20mW 633nm 60s +A"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     293.19951
Viscosity [cp]  :	       0.94000
Refractive Index:	       1.42600
Wavelength [nm] :	     633.00000
Angle [°]       :	      55.00000
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      74.53832
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  5.76666E+002	  1.57466E-003
  6.29094E+002	  3.63548E-004
  6.81523E+002	  7.48004E-005
  7.33952E+002	 -1.20950E-004
  7.86381E+002	 -2.72255E-004
  8.38810E+002	 -3.16583E-004
  9.43667E+002	  6.20899E-004
  1.04852E+003	 -3.76282E-004
  1.15338E+003	 -3.58309E-004
  1.25824E+003	  3.03063E-004
  1.36310E+003	  2.05439E-004
  1.46796E+003	 -9.27297E-005
  1.57281E+003	  7.00640E-005
  1.67767E+003	 -3.80451E-004
  1.88739E+003	  4.45651E-006
  2.09710E+003	  3.06719E-004
  2.30682E+003	  1.80924E-005
  2.51653E+003	 -8.73176E-005
  2.72625E+003	  3.67222E-004
  2.93596E+003	 -3.56798E-004
  3.14568E+003	  5.74643E-005
  3.35539E+003	  2.67872E-004
  3.77482E+003	  1.14560E-004
  4.19425E+003	 -3.21161E-005
  4.61368E+003	  1.03136E-004
  5.03311E+003	 -5.52510E-004
  5.45254E+003	  8.79963E-005
  5.87197E+003	 -3.12580E-005
  6.29140E+003	  4.70374E-006
  6.71083E+003	 -8.62151E-005
  7.54970E+003	  1.17239E-004
  8.38856E+003	 -4.43683E-004
  9.22742E+003	  1.38041E-005
  1.00663E+004	  1.14886E-004
  1.09051E+004	 -2.46337E-004
  1.17440E+004	  7.66115E-005
  1.25829E+004	  4.91645E-005

"Count Rate"
       0.23438	      76.63967
       0.46875	      70.79224
